M671409097787506688,1, اتراقص على انغام صياح السادس التعاون_الهلال الهلال_التعاون ,sarcasm,
M671408537772367872,4, اخر طرد للاعب هلالي قبل خمس سنوات والله لو انهم يلعبون كيرم الهلال_التعاون الهلال دوري_عبداللطيف_جميل ,sarcasm,
M671408609947963392,820, اخوانا في المركز السادس طلعو يحسبون المباراه في الدوري هههههههههههههههههههههههههههههههههههه الهلال_التعاون ,sarcasm,
M671410850541002752,8, اخواننا الي ب المركز السادس لاجيتو تكلمونا ارفعو اصواتكم عشان نسمعكم او استخدمو هالشيا الهلال_التعاون ,sarcasm,
M671412020760223744,42, التحكيم انقذ الهلال كعادته من ايام حد التحكيم يضرب اروع امثله الوفاا مع الهلال التعاون_الهلال الهلال_التعاون ,sarcasm,
M671410851925139456,58, التحكيم_ماله_طعم_بدون_الهلال ههههههههههههههه الهلال_التعاون,sarcasm,
M671411824525451264,4, الحين يجيكم فوده ويقول برافو يالشلوي تسلل صحيح اكشن_يا_دوري التعاون الهلال الهلال_التعاون التعاون_الهلال ,sarcasm,
M671408614469423104,16, النصراوي اللي يتكلم عن التحكيم زي الرقاصه اللي تتكلم عن الشرف هههههههههههههه الهلال_التعاون,sarcasm,
M671409661376135168,5, النصراوي الي يتكلم عن التحكيم مثل الرقاصه الي تتكلم عن الشرف الهلال_التعاون,sarcasm,
M671411650482806784,1, النصراوي قلب الدوري كره يد واخذ الدوري وله وجه يتكلم على التحكيم المهم المركز السادس يقولون رطوبه الهلال_التعاون ,sarcasm,
M671413798377496576,24, النصراوي لما يتكلم عن التحكيم زي هيفاا وهبي لما تقول القران بشنطتي الهلال_التعاون,sarcasm,
M671410288198090752,5, الهلال_التعاون اعطني كل مباراه بلنتي و افوز على البرشا و الريال,sarcasm,
M671408402036338688,3, الهلال_التعاون اكثر ما احزنني نصراوي بجنبي لمس السقف من الفرحه بهدف التعاون,sarcasm,
M671409545281933312,3, الهلال_التعاون الا ليت نيشيمورا يعود يوما الدفع_الخلفي ,sarcasm,
M671409599833104384,1, الهلال_التعاون الله يسامحك ياهلال ماذا فعلت بهم صياااااااااح,sarcasm,
M671411019193950208,1, الهلال_التعاون اللي مامعوووش مايلزموووش مش كدا ياسي حنفوووش ,sarcasm,
M671409218768011264,8, الهلال_التعاون المباراه بكاس ولي العهد وهذولا الاعلاميين يحسبون انها بالدوري هذولا اللي يستاهل تقول لهم عالمطبخ ,sarcasm,
M671411846491021312,1, الهلال_التعاون المحلل سعد كميل يبغى ياكل عيش مثله مثل غيره صعب يمشي عكس التيار ,sarcasm,
M671410385514315776,1, الهلال_التعاون المركز السادس تصيح ونت برا البطوله لو انت في البطوله كان اشوى ,sarcasm,
M671414246291447808,1, الهلال_التعاون المركز السادس وحشتوووونا ,sarcasm,
M671410928806678528,1, الهلال_التعاون المره الجايه ركز نبيك تلغي هدف صحيح مو تسلل خلنا نستمتع بالصياح ,sarcasm,
M671412986318163968,8, الهلال_التعاون النادي الوحيد الذي لم يتضرر من ظلم نفوذ الهلال هو نادي الفروسيه حقيقه,sarcasm,
M671409447697256448,14, الهلال_التعاون الهلال حال الجماهير الي جالسه تصيح انا قلت النصر ماقلته ,sarcasm,
M671408497368702976,1, الهلال_التعاون الهلال دوري_عبداللطيف_جميل اقتراح على النصراويه استخدام مكبر الصوت لانهم بعيدين مانسمعهم مركز6,sarcasm,
M671412603546136576,1, الهلال_التعاون الى عشاق الطرب انصحكم بالدخول الى التاق والا ستمتاع بصياح بني فقر طرررررررب من نوع فاخر,sarcasm,
M671408408000638976,6, الهلال_التعاون الي بالمراكز الاخيره ويبي يكلم اصحاب القمم يرفع صوته مانسمعه ,sarcasm,
M671408606336651264,1, الهلال_التعاون اليوم سهره صباحي لعيون الجماهير المسياريه الشقيقه بنو خدم بنو فقر بنو طحلب صيييييييييييييييح سمعني ,sarcasm,
M671413694472069120,1, الهلال_التعاون اهل السكري ارتفع السكر معهم طلع الهلال سكر,sarcasm,
M671414859687415808,1, الهلال_التعاون ايش ذنبنا اذا فوز الهلال يبكي الشعب كله ,sarcasm,
M671408776256331776,1, الهلال_التعاون ايوووه وش صار ع السومه اطربونا ,sarcasm,
M671409835687215104,3, الهلال_التعاون برعايه الحنفوش دربك يا هلال مفروش ,sarcasm,
M671409570523271168,1, الهلال_التعاون حبيبي انا حققت اسيا مرتين واعرفها والله لو الحنفوش يحكم في اسيا كان الهلال محقق البطوله من زمان  ,sarcasm,
M671410898704203776,1, الهلال_التعاون خلاص بنعطبك الكيساااان كلها ونبد من جديد بس بدون غش,sarcasm,
M671412913433915392,5, الهلال_التعاون قررت اتابع دوريات اوروبيه من بعد التحكيم اللي اليوم ابي اقوى فريق تراي جاهله ,sarcasm,
M671415640415150080,1, الهلال_التعاون كيف تفوز على الهلال بوجود الحكم المحلي لا يمكن الا في حاله واحده و هي مشاركه محمد السهلاوي مع كل ناد ,sarcasm,
M671410044672606208,1, الهلال_التعاون كيف فاز الهلال كذه ,sarcasm,
M671414879174180864,1, الهلال_التعاون لاعب الهلال يدفع لاعب التعاون لكي يقعه على ضب ,sarcasm,
M671410779426435072,1, الهلال_التعاون لكل نصراوي لا نرضى عليكم ياصغرنا من عادلكم نسحقه ,sarcasm,
M671408677002321920,1, الهلال_التعاون لو سمحتوا توصلون المايكات ومكبرات الصوت للمركز السادس مانسمع صياحهم زين,sarcasm,
M671408553765281792,9, الهلال_التعاون مشكله التعاون انه كان مرتدي الزي الاصفر والازرق ,sarcasm,
M671411240896434176,1, الهلال_التعاون مشكله التعاون يحسب كل الفرق زي النصر,sarcasm,
M671408312726999040,22, الهلال_التعاون مع شكري الحنفوش طريقك ي هلال مفروش ,sarcasm,
M671415612548235264,1, الهلال_التعاون من الطريف في الامر ناس ذهبت من الرياض تحضر المباراه وفي العوده قالوا اصلن حنا رايحين ناكل من البيك,sarcasm,
M671409339719098368,1, الهلال_التعاون من حبيب الشعب ححححنفوش ,sarcasm,
M671408397493911552,32, الهلال_التعاون نصراوي يتكلم عن التحكيم مثل هيفاا وهبي تتكلم عن الشرف ,sarcasm,
M671408527114661888,10, الهلال_التعاون ودك تخرب جو هلالي قاعد يتابع مباراه اليوم قله وش سبب تاجيل المباراه النصر ,sarcasm,
M671415408478564352,2, الهلال_التعاون ودي اسال هل اداره الهلال اعطوا عمر المهنا الانذار الاخير ههههه,sarcasm,
M671416207510249472,1, الهلال_التعاون وضع النصراوي وهو يشوف التحليل التحكيمي للحكم سعد كميل اعمل نفسك ميت ,sarcasm,
M671408453139759104,1, الهلال_التعاون وضع النصراويين قلبو الفوده ومحللين صديقتي النصراويه تعبت على جمع اللقطات ,sarcasm,
M671412955460816896,1, الهلال_التعاون يااخوان مباراتنا اليوم ضد التعاون والا النصر شكلنا لاعبين مع النصر بالغلط,sarcasm,
M671409876841668608,1, الهلال_التعاون يازين طعم الغش لذيذ جدا ,sarcasm,
M671412340970143744,1, الهلال_التعاون يازين طعم الغش لذيذ جدا من بعد كاس الملك ماتلذذت فيه ,sarcasm,
M671410467064123392,1, الهلال_التعاون يالله لك الحمد على نعمه الحنفوش وناسه تفوز بالتحكيم ,sarcasm,
M671413192736825344,28, انسى_تفوز_على_المحلي_بحكم_محلي الهلال_التعاون سلطان_ابن_جبعه نشيمورا وينك اشتقنالك ,sarcasm,
M671412889744506880,5, بالحكم المحلي الفريق المحلي يحلي بسكري القصيم الهلال_التعاون,sarcasm,
M671409290771619840,2, برعايه شكري الحنفوش دربك يالهلال مفروش الهلال_التعاون التحكيم_ينحر_التعاون الحكام_يزفون_المدللله_لمنصات_التتويج,sarcasm,
M671409081895280640,6, تتوقع ليش يصيحون الهلال_التعاون,sarcasm,
M671415508500115456,1, تحول الدفع الرباعي الى دفع مادي الهلال_التعاون,sarcasm,
M671415120300478464,2, تخيلوا فيه جمهور باقي لليوم يطالبون ببلنتي ههههههه دابو تقول طاب مسبح الهلال_التعاون ,sarcasm,
M671411639791575040,7, تدخل اللاعب المتسلل في اللعبه يعتبر تسلل والتسلل صحيح الهلال_التعاون,sarcasm,
M671409530652262400,2, ترى اللي ف السادس يشوف الكاس دوري تعرفون المسافه تحمدوا الله مافي شي يضحك الهلال_التعاون ,sarcasm,
M671410074024288256,1, ترى مبسوط ع الصياح والا الصوره حطيتها بالغلط الهلال_التعاون ,sarcasm,
M671414989828263936,7, تصريح ادواردو بعد المباراه حبيبي انا برازيلي واعرف الحراس كويس ورب الكعبه في ناس مو مصدقين اني م سجلت اليوم الهلال_التعاون,sarcasm,
M671408943705534464,1, جنبي نصراوي وقت المباراه و بعد المباراه قلت له عيب عليك يا اخي ليش تخبي علينا هالسنتين اللي راحت متعه الفوز بالغش اله ,sarcasm,
M671408337322434560,78, حتى مخرج المباراه يقول لحكم الخط اتق الله ياخي الهلال_التعاون,sarcasm,
M671408627111038976,3, حسب الدراسات الاخيره ان هذا النوع اقوا انواع الصياح الهلال_التعاون ,sarcasm,
M671412469055823872,3, حقيقتا الشارع السعودي فقد جمال كره الطائره من بعد غياب النصر الهلال_التعاون ,sarcasm,
M671414619228020736,2, حقيقه البطولات هذه السنه مفصله تفصيل تام على مقاس الهلال التحكيم يؤدي دوره على اتم وجه عيد كيف حالك التعاون_اله ,sarcasm,
M671408706857345024,2, حكم الساحه احتسب التسلل وحكم الرايه واقفا متعجبا ثم تذكر انه الهلال فرفع رايته الهلال_التعاون ,sarcasm,
M671408680571654144,3, حنا نادي الحكومه بلنتي الهلال غير صحيح وهناك هدف صحيح و3بلنتيات للتعاون لم تحتسب وتم تهديد الحكم بين الشوطين و سمعني صياحك ,sarcasm,
M671409525694550016,1, حنفش تحنفش بالحنافيش محفوش حنفاش متحنفش بالفحش حنفوشي بيت_شعر_يروق_لك وسلامتكم الهلال_التعاون,sarcasm,
M671409823280463872,1, حنى فريق البشوت نجيب الفوز بالغصب اضغط_المضغوط_اكثر الهلال_التعاون ,sarcasm,
M671410588791238656,5, حي هالعيين من زمان ما سمعنا اصواتهم وبفضل من الله وثم منك سمعتنا اصواتهم الهلال_التعاون ,sarcasm,
M671409168037912576,4, خبره اللعب خارج الملعب الله يحييكك لها دور الهلال_التعاون ,sarcasm,
