M671415160620339200,1, _ قالها عبدالرحمن_بن_سعود لا اخشى الهلال ابدا ولگن اخشى ممن يدعمه في الظلام ا الهلال_التعاون,neg,
M671410882266734592,2, 6 بلنتيات للتعاون لم تحتسب وهدف لهم صحيح يلغى وهدف بلنتي غير صحيح للهلال كيف تبغا تفوووووز الهلال_التعاون الت ,neg,
M671408647990329344,63, ابو صقر نادي الحكومه والمتصدر والمتاهل بالغش يمسي عليك ويقولك اي معامله في دائره حكوميه ترانا حاضرين الهلال_التعاون,neg,
M671413433095557120,19, ابي اعرف الصياح ليه ياحفاظه التعاون_الهلال الهلال_التعاون ,neg,
M671410213833056256,3, اتمنى انسحاب الاهلي من الدوري لايزال الهلال ولجنه الحكام يهدونه الفوز قدام العالم وبالغش وبدون خجل الهلال_التعاون,neg,
M671409589938728960,2, اتمنى م اشوف اي هلالي محلي يصايح عن الظلم التحكيم بعدين بعد الي شفناه اليوم بالمباراه الهلال_التعاون,neg,
M671408683390251008,5, اجلد_التعاون_يصيح_المتعاون صياحهم طرب الهلال_التعاون ,neg,
M671413875695353856,2, اجلد_التعاون_يصيح_المتعاون هشخص راح يجيه ضغط ومراره من كثر صياح الهلال_التعاون ,neg,
M671408810272153600,11, اختصرها المعلق فارس عوض بعد هدف التعاون وهذا الهدف كيف تلغيه هكذا اختصر مهزله التحكيم والمجزره ضد فريق التعاون ا ,neg,
M671415869105446912,1, اخطاا فادحه وفاضحه لطاقم التحكيم ماهو ذنب فريق كالتعاون يسيطر على المباراه يسجل وتلغى اهدافه يصنع فرص محققه وتقتل برايه ا ,neg,
M671409399810940928,1, اخي مطرف معقوله ولا حاله تحكيميه ل الهلال في كل تغريداتك هل هذا منطق ام تطرف يا مطرف الهلال_التعاون,neg,
M671414573426155520,1, اداره التعاون تمنع جمهور هلالي غفير خارج الملعب من الدخول جمهور الهلال اصبح كابوس على ادارات الخصوم في ملاعبها الهل ,neg,
M671409789730164736,2, ازعجنا الصوص الاصفر بالصياح وش الحل معه الهلال_التعاون ,neg,
M671415247069192192,1, استغرب من التعاون كيف لم يلعب بالصف الثاني وهو يعلم انه مهزوم بالله والا بالمشعاب على الاقل كان سيريح لاعبيه للدوري ,neg,
M671408700758859776,3, اصابهم الياس من العالميه و عادوا ليمارسوا قذارتهم مجددا في المحليه الهلال_التعاون الدعم_الرئاسي,neg,
M671411204011728896,1, اعترف ان جمهور الاهلي عندهم هوس ظلم حتى لو مافيه ظلم بالموضوع حتى لو مو فريقهم الي يلعب الهلال_التعاون,neg,
M671413547361017856,2, اعلام وجمهور النصر سمعوني صياحكم الهلال_التعاون ,neg,
M671408570542485504,1, اغبى الاعلام اصفره الهلال_التعاون ,neg,
M671410895977844736,1, اكبر عميل للهلال خخ تفووو عليك ياوصخ والله هدف صحيح منب بنقله حنا الهلال_التعاون التحكيم_ينحر_التعاون ,neg,
M671409214607241216,2, اكثر ما يؤلم حقا ان من يشجع الهلال يعلم ان الفاسد فاسدا ويتبعه ويعلم ان المنافق منافقا ويتبعه اسالني عن الضمير ,neg,
M671409990595407872,35, الاعلام الاصفر سيستمر في اللهث خلف الهلال ديدنهم الكذب والتدليس وقلب الوقائع لذلك عليكم بالاستماع بالضحك عليهم الهلال ,neg,
M671414691126763520,37, التحكيم الهلالي تعدوا مرحله عدم احتساب ضربات الجزاا صارواااا يلغون اهداف الهلال_التعاون,neg,
M671412579118555136,3, التحكيم في الحظيظ ومجامله الهلال واضحه كالشمس في رابعه النهار الهلال_التعاون التعاون,neg,
M671413572430360576,1, التحكيم مابه جديد لا عريني ينفع ولا حنفوش يفيد الهلال_التعاون النصر,neg,
